"","Year-Month","sentiment","n"
"980","2001_3","positive",180
"981","2001_3","negative",142
"982","2001_3","trust",123
"983","2001_3","fear",84
"984","2001_3","anger",81
"985","2001_3","anticipation",77
"986","2001_3","sadness",40
"987","2001_3","joy",38
"988","2001_3","surprise",38
"989","2001_3","disgust",34
"990","2001_3","Total",837
"991","2002_1","positive",235
"992","2002_1","negative",187
"993","2002_1","trust",138
"994","2002_1","fear",106
"995","2002_1","anticipation",94
"996","2002_1","anger",92
"997","2002_1","sadness",78
"998","2002_1","joy",64
"999","2002_1","disgust",51
"1000","2002_1","surprise",48
"1001","2002_1","Total",1093
"1002","2001_6","positive",191
"1003","2001_6","negative",140
"1004","2001_6","trust",106
"1005","2001_6","anticipation",75
"1006","2001_6","fear",70
"1007","2001_6","anger",64
"1008","2001_6","joy",41
"1009","2001_6","sadness",36
"1010","2001_6","disgust",35
"1011","2001_6","surprise",35
"1012","2001_6","Total",793
"1013","2001_2","positive",158
"1014","2001_2","negative",124
"1015","2001_2","trust",101
"1016","2001_2","fear",63
"1017","2001_2","anticipation",62
"1018","2001_2","anger",57
"1019","2001_2","sadness",40
"1020","2001_2","joy",29
"1021","2001_2","surprise",26
"1022","2001_2","disgust",23
"1023","2001_2","Total",683
"1024","2002_5","positive",96
"1025","2002_5","trust",65
"1026","2002_5","negative",62
"1027","2002_5","fear",38
